日付,東京都,大阪府,神奈川県,千葉県,埼玉県,兵庫県,福岡県,愛知県,北海道,京都府,石川県,岐阜県,茨城県,福井県,群馬県,沖縄県,高知県,広島県,宮城県,富山県,静岡県,奈良県,大分県,新潟県,滋賀県,福島県,愛媛県,栃木県,山形県,山梨県,長野県,和歌山県,熊本県,山口県,青森県,三重県,宮崎県,岡山県,香川県,秋田県,長崎県,佐賀県,島根県,鹿児島県,徳島県,鳥取県,岩手県
3月30日,436,209,107,160,83,132,22,167,176,46,9,21,16,13,18,8,14,6,2,0,4,11,28,31,6,2,4,12,0,4,8,17,10,6,7,9,3,3,1,4,2,1,0,1,1,0,0
3月31日,449,217,115,160,84,136,23,170,177,54,11,21,20,15,18,9,15,6,6,1,4,11,28,31,6,2,4,12,0,5,8,17,11,6,7,11,3,4,1,4,2,1,0,1,1,0,0
4月1日,527,245,120,164,98,147,43,176,177,68,13,23,24,16,19,9,17,6,7,3,6,11,29,31,7,4,9,14,1,6,8,17,14,6,8,11,3,4,2,6,2,2,0,1,3,0,0
4月2日,593,279,138,175,101,161,52,181,182,71,15,22,24,22,20,9,20,6,7,5,6,15,29,31,8,6,9,14,1,8,9,18,15,6,8,11,3,4,2,6,5,4,0,2,3,0,0
4月3日,690,312,153,181,113,167,62,186,185,79,16,22,26,31,20,9,21,6,12,8,6,19,30,31,8,8,11,14,1,9,9,20,15,6,9,12,3,7,2,7,5,4,0,3,3,0,0
4月4日,779,347,181,192,131,172,66,198,190,91,24,39,54,40,24,9,21,8,13,8,8,21,31,32,14,9,11,14,1,9,10,21,15,7,11,12,4,9,2,9,7,5,0,3,3,0,0
4月5日,897,388,197,219,153,182,67,216,193,105,32,43,59,44,25,9,24,13,20,10,10,24,31,32,17,14,12,14,6,11,11,21,16,7,11,12,4,10,2,10,8,6,0,3,3,0,0
4月6日,"1,040",409,226,238,174,195,109,227,194,111,43,50,64,51,26,9,31,16,23,10,10,25,31,32,18,16,12,14,10,13,12,25,20,8,11,13,6,11,2,11,9,8,0,3,3,0,0
4月7日,"1,123",429,261,253,195,201,113,237,194,119,45,51,71,57,26,15,34,16,26,11,10,26,32,32,18,16,14,14,13,14,14,27,20,12,11,13,7,11,2,11,9,8,0,3,3,0,0
4月8日,"1,203",482,279,284,209,216,136,258,198,139,51,51,77,57,29,27,36,19,27,12,10,28,32,34,18,24,23,15,19,19,14,28,21,13,11,13,7,12,2,11,9,9,0,3,3,0,0
4月9日,"1,347",525,327,317,242,216,161,278,208,149,66,69,77,67,29,32,37,23,34,14,15,30,41,37,24,29,25,21,22,22,19,29,23,17,12,13,12,15,3,11,12,11,0,3,3,0,0
4月10日,"1,528",589,375,342,271,273,187,299,226,159,72,76,81,72,33,42,47,25,36,16,16,34,41,39,26,33,26,31,27,24,21,32,23,17,14,15,16,16,3,11,14,11,1,3,3,0,0
4月11日,"1,717",697,425,375,325,316,224,313,239,168,92,82,82,76,35,49,52,25,37,23,34,37,42,41,34,36,28,31,27,27,28,33,23,17,14,15,16,16,4,12,14,12,2,3,3,1,0
4月12日,"1,914",767,465,411,345,358,332,340,255,181,104,91,91,86,79,49,54,31,46,23,39,39,42,41,38,37,30,32,32,32,28,33,23,19,22,17,17,16,4,13,14,12,6,4,3,1,0
4月13日,"2,080",812,478,455,386,375,362,319,267,193,113,105,109,88,90,66,60,56,52,30,41,41,42,42,38,38,30,35,34,35,29,34,28,23,22,17,17,16,8,15,14,13,7,4,3,1,0
4月14日,"2,171",836,572,474,414,384,373,328,272,205,121,112,110,92,91,72,60,57,54,49,46,44,43,42,40,38,37,36,35,35,34,34,28,24,22,17,17,16,16,15,14,13,8,4,3,1,0
4月15日,"2,332",895,594,490,433,403,403,338,279,210,131,127,116,92,97,76,60,66,64,54,46,47,43,45,51,39,39,38,39,36,35,35,29,25,22,19,17,16,20,16,14,15,10,4,3,1,0
4月16日,"2,457",969,614,525,479,423,433,350,302,215,140,128,119,100,107,86,62,67,65,54,47,53,50,46,52,40,40,39,45,39,36,37,31,28,22,20,17,16,20,16,15,17,13,4,3,1,0
4月17日,"2,606","1,021",673,539,535,453,459,364,336,225,146,132,123,103,109,86,62,118,75,65,48,54,50,47,57,49,41,42,50,43,45,38,31,29,22,26,17,18,21,16,16,15,14,4,3,1,0
